video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow,video_name_datetime
1_2022-06-24-09-05-05,3,10.0,False,False,False,CLR,M,False,False,2022-06-24 09:05:05+00:00
1_2022-06-24-11-07-25,2,10.0,False,False,False,CLR,M,False,False,2022-06-24 11:07:25+00:00
1_2022-06-24-11-18-30,3,10.0,False,False,False,CLR,M,False,False,2022-06-24 11:18:30+00:00
1_2022-06-25-09-10-13,3,10.0,False,False,False,CLR,M,False,False,2022-06-25 09:10:13+00:00
1_2022-06-25-09-36-16,3,10.0,False,False,False,CLR,M,False,False,2022-06-25 09:36:16+00:00
1_2022-06-25-09-57-48,1,10.0,False,False,False,CLR,M,False,False,2022-06-25 09:57:48+00:00
1_2022-06-25-10-53-05,4,10.0,False,False,False,CLR,M,False,False,2022-06-25 10:53:05+00:00
1_2022-06-25-10-58-37,7,10.0,False,False,False,CLR,M,False,False,2022-06-25 10:58:37+00:00
1_2022-06-25-11-09-40,4,10.0,False,False,False,CLR,M,False,False,2022-06-25 11:09:40+00:00
1_2022-06-25-11-17-26,4,10.0,False,False,False,CLR,M,False,False,2022-06-25 11:17:26+00:00
1_2022-06-25-11-31-14,8,10.0,False,False,False,CLR,M,False,False,2022-06-25 11:31:14+00:00
1_2022-06-25-11-44-25,3,10.0,False,False,False,CLR,M,False,False,2022-06-25 11:44:25+00:00
1_2022-06-25-11-58-40,4,10.0,False,False,False,CLR,M,False,False,2022-06-25 11:58:40+00:00
1_2022-06-26-08-32-07,1,10.0,False,False,False,CLR,M,False,False,2022-06-26 08:32:07+00:00
1_2022-06-26-13-14-35,1,9.0,False,False,False,BKN,2500,False,False,2022-06-26 13:14:35+00:00
1_2022-06-26-14-34-26,1,8.0,False,False,False,BKN,2000,False,False,2022-06-26 14:34:26+00:00
1_2022-06-26-16-02-43,1,3.0,False,False,False,SCT,1600,True,False,2022-06-26 16:02:43+00:00
1_2022-06-26-16-14-50,1,3.0,False,False,False,SCT,1600,True,False,2022-06-26 16:14:50+00:00
1_2022-06-26-20-08-35,1,7.0,False,False,False,SCT,800,False,False,2022-06-26 20:08:35+00:00
1_2022-06-27-19-18-16,2,10.0,False,False,False,CLR,M,False,False,2022-06-27 19:18:16+00:00
1_2022-06-28-06-45-01,2,10.0,False,False,False,CLR,M,False,False,2022-06-28 06:45:01+00:00
1_2022-06-28-08-25-14,2,10.0,False,False,False,CLR,M,False,False,2022-06-28 08:25:14+00:00
1_2022-06-28-08-31-50,1,10.0,False,False,False,CLR,M,False,False,2022-06-28 08:31:50+00:00
1_2022-06-28-08-37-18,3,10.0,False,False,False,CLR,M,False,False,2022-06-28 08:37:18+00:00
1_2022-06-28-08-42-45,3,10.0,False,False,False,CLR,M,False,False,2022-06-28 08:42:45+00:00
1_2022-06-28-09-00-11,5,10.0,False,False,False,CLR,M,False,False,2022-06-28 09:00:11+00:00
1_2022-06-28-09-05-38,6,10.0,False,False,False,CLR,M,False,False,2022-06-28 09:05:38+00:00
1_2022-06-28-09-11-06,3,10.0,False,False,False,CLR,M,False,False,2022-06-28 09:11:06+00:00
1_2022-06-28-09-16-34,5,10.0,False,False,False,CLR,M,False,False,2022-06-28 09:16:34+00:00
1_2022-06-28-09-34-50,5,10.0,False,False,False,CLR,M,False,False,2022-06-28 09:34:50+00:00
1_2022-06-28-10-11-29,4,10.0,False,False,False,CLR,M,False,False,2022-06-28 10:11:29+00:00
1_2022-06-28-10-19-08,2,10.0,False,False,False,CLR,M,False,False,2022-06-28 10:19:08+00:00
1_2022-06-28-10-51-21,4,10.0,False,False,False,CLR,M,False,False,2022-06-28 10:51:21+00:00
1_2022-06-28-11-08-10,5,10.0,False,False,False,CLR,M,False,False,2022-06-28 11:08:10+00:00
1_2022-06-28-11-53-56,5,10.0,False,False,False,CLR,M,False,False,2022-06-28 11:53:56+00:00
1_2022-06-28-12-21-27,4,10.0,False,False,False,CLR,M,False,False,2022-06-28 12:21:27+00:00
1_2022-06-28-15-14-13,6,10.0,False,False,False,CLR,M,False,False,2022-06-28 15:14:13+00:00
1_2022-06-28-16-10-40,4,10.0,False,False,False,CLR,M,False,False,2022-06-28 16:10:40+00:00
1_2022-06-29-09-19-04,3,10.0,False,False,False,FEW,7000,False,False,2022-06-29 09:19:04+00:00
1_2022-06-29-09-30-00,4,10.0,False,False,False,FEW,7000,False,False,2022-06-29 09:30:00+00:00
1_2022-06-29-19-15-57,2,10.0,False,False,False,CLR,M,False,False,2022-06-29 19:15:57+00:00
1_2022-06-29-19-32-36,2,10.0,False,False,False,CLR,M,False,False,2022-06-29 19:32:36+00:00
1_2022-06-30-08-30-40,1,10.0,False,False,False,CLR,M,False,False,2022-06-30 08:30:40+00:00
